# Data for the a4a model 
# Full age range
 0 6 
# Full year range
 1982 2012 
# Number of surveys
 3 
# Survey min ages
 0 0 0 
# Survey max ages
 4 4 4 
# Survey time as a fraction into the year (one for each survey)
 0.625 0.625 0.625 
# fbar range
 2 5 
# Last age group considered plus group 0=no 1=yes
 1 
# Number of observations
 547 
# Observation data frame 
# fleet	year	age	observation	weights
1	1982	0	2.67735781417714	1
1	1982	1	2.38488330913949	1
1	1982	2	1.46034710502882	1
1	1982	3	0.351852867949699	1
1	1982	4	-0.691387674008705	1
1	1982	5	-1.01758425807659	1
1	1982	6	-1.38994060205354	1
1	1983	0	2.67413796226295	1
1	1983	1	2.74277434596782	1
1	1983	2	1.73624816936588	1
1	1983	3	0.781213188370543	1
1	1983	4	-0.402232022984917	1
1	1983	5	-1.14823530695842	1
1	1983	6	-1.26531216081671	1
1	1984	0	2.56903618534013	1
1	1984	1	2.58928498489851	1
1	1984	2	1.77124696514718	1
1	1984	3	0.792602399162053	1
1	1984	4	-0.288542437162322	1
1	1984	5	-1.24181635449019	1
1	1984	6	-1.5111467608223	1
1	1985	0	2.34665746292404	1
1	1985	1	2.35531551046847	1
1	1985	2	1.52969127898046	1
1	1985	3	0.710489604282925	1
1	1985	4	-0.338365665699563	1
1	1985	5	-1.27482108027208	1
1	1985	6	-1.75193530419647	1
1	1986	0	2.14563591208766	1
1	1986	1	2.11165897163531	1
1	1986	2	1.36795663959381	1
1	1986	3	0.606686026780409	1
1	1986	4	-0.320460298252327	1
1	1986	5	-1.20482406830704	1
1	1986	6	-1.76852098153482	1
1	1987	0	2.26200696560744	1
1	1987	1	1.91719391213056	1
1	1987	2	1.15653893911411	1
1	1987	3	0.536026842490516	1
1	1987	4	-0.296379803341758	1
1	1987	5	-1.08323193945128	1
1	1987	6	-1.62685906522428	1
1	1988	0	2.66698287121862	1
1	1988	1	2.09798099391235	1
1	1988	2	1.01921943179405	1
1	1988	3	0.437072140479513	1
1	1988	4	-0.269412702260366	1
1	1988	5	-0.958554382911705	1
1	1988	6	-1.41287765516103	1
1	1989	0	2.85391199882214	1
1	1989	1	2.30212873658975	1
1	1989	2	0.873544592397282	1
1	1989	3	0.013709007607634	1
1	1989	4	-0.661767393274481	1
1	1989	5	-1.24604190445005	1
1	1989	6	-1.57784700619693	1
1	1990	0	3.02548233766622	1
1	1990	1	2.53625395109754	1
1	1990	2	1.08275582654971	1
1	1990	3	-0.165596414739257	1
1	1990	4	-1.08475897793316	1
1	1990	5	-1.64939365321744	1
1	1990	6	-1.84807304703068	1
1	1991	0	3.00625071027516	1
1	1991	1	2.57868443898412	1
1	1991	2	1.21438002252781	1
1	1991	3	-0.0769443155902607	1
1	1991	4	-1.33059170298215	1
1	1991	5	-2.09612904653435	1
1	1991	6	-2.24210859083844	1
1	1992	0	3.02255944441442	1
1	1992	1	2.63710983748062	1
1	1992	2	1.3929241237417	1
1	1992	3	0.170571174275896	1
1	1992	4	-1.15976915142007	1
1	1992	5	-2.20392276270493	1
1	1992	6	-2.51798821578512	1
1	1993	0	2.92653191899541	1
1	1993	1	2.34618178062193	1
1	1993	2	1.21195025915599	1
1	1993	3	0.133151754135953	1
1	1993	4	-1.12988619918502	1
1	1993	5	-2.25870294819749	1
1	1993	6	-2.87049501606249	1
1	1994	0	2.61612667220846	1
1	1994	1	2.41461124243626	1
1	1994	2	0.976071063834425	1
1	1994	3	-0.0130283513507763	1
1	1994	4	-1.14741445434934	1
1	1994	5	-2.22499198690571	1
1	1994	6	-3.01048206017869	1
1	1995	0	3.04245062929203	1
1	1995	1	3.26272242073547	1
1	1995	2	1.14708640418462	1
1	1995	3	-0.363524648682704	1
1	1995	4	-1.46709772838375	1
1	1995	5	-2.44232372753195	1
1	1995	6	-3.24088325312014	1
1	1996	0	3.13226030786281	1
1	1996	1	2.91016156720513	1
1	1996	2	1.30355794986085	1
1	1996	3	-0.703622026959549	1
1	1996	4	-2.31748069492152	1
1	1996	5	-3.33108093353017	1
1	1996	6	-4.06201223226145	1
1	1997	0	3.40546482977887	1
1	1997	1	2.84494726733642	1
1	1997	2	1.03132649008176	1
1	1997	3	-0.408608298115539	1
1	1997	4	-2.23989525313594	1
1	1997	5	-3.67089279015662	1
1	1997	6	-4.50877549245781	1
1	1998	0	2.86283424735134	1
1	1998	1	2.74225647486892	1
1	1998	2	0.936156697957975	1
1	1998	3	-0.674355131335266	1
1	1998	4	-2.16599560185212	1
1	1998	5	-3.65327451816933	1
1	1998	6	-4.8715142586534	1
1	1999	0	2.72705047017665	1
1	1999	1	2.51088272810176	1
1	1999	2	1.01720748370088	1
1	1999	3	-0.635862705892411	1
1	1999	4	-2.27133442522163	1
1	1999	5	-3.61434851938633	1
1	1999	6	-4.88408192516619	1
1	2000	0	2.95285786296738	1
1	2000	1	2.51860055773074	1
1	2000	2	1.0650774245416	1
1	2000	3	-0.288612655151997	1
1	2000	4	-1.8929780558068	1
1	2000	5	-3.30805599122543	1
1	2000	6	-4.54098032807944	1
1	2001	0	3.03149403271653	1
1	2001	1	2.51415718063163	1
1	2001	2	0.883579579051807	1
1	2001	3	-0.400645268404068	1
1	2001	4	-1.7668862911548	1
1	2001	5	-3.11149860488593	1
1	2001	6	-4.36685009844141	1
1	2002	0	2.93731571292657	1
1	2002	1	2.21714348950565	1
1	2002	2	0.80469185071518	1
1	2002	3	-0.447310321246652	1
1	2002	4	-1.71304737303128	1
1	2002	5	-2.88728643020419	1
1	2002	6	-4.04415252786873	1
1	2003	0	3.1040538976666	1
1	2003	1	2.29992831765833	1
1	2003	2	0.623651266605867	1
1	2003	3	-0.472563485748202	1
1	2003	4	-1.66622164515933	1
1	2003	5	-2.74327584711237	1
1	2003	6	-3.73628279328468	1
1	2004	0	2.8077857866605	1
1	2004	1	2.22162880577479	1
1	2004	2	0.632473824917676	1
1	2004	3	-0.55089823490527	1
1	2004	4	-1.63099897239516	1
1	2004	5	-2.62161918708738	1
1	2004	6	-3.49075348977017	1
1	2005	0	2.94749931521457	1
1	2005	1	2.60074051973843	1
1	2005	2	0.944172679754415	1
1	2005	3	-0.357447469440402	1
1	2005	4	-1.51992966991915	1
1	2005	5	-2.45044326563198	1
1	2005	6	-3.20785539826841	1
1	2006	0	3.29171102942686	1
1	2006	1	3.07668732795369	1
1	2006	2	1.32010603749192	1
1	2006	3	-0.263267161711315	1
1	2006	4	-1.62094651357748	1
1	2006	5	-2.62774865162042	1
1	2006	6	-3.31908980375916	1
1	2007	0	3.0904039952787	1
1	2007	1	3.22544199688321	1
1	2007	2	1.70151991709166	1
1	2007	3	0.0761166155778952	1
1	2007	4	-1.50274712302339	1
1	2007	5	-2.68499051342327	1
1	2007	6	-3.43700286984444	1
1	2008	0	2.9500328421658	1
1	2008	1	3.44375215939102	1
1	2008	2	1.72264159401771	1
1	2008	3	0.152051230924359	1
1	2008	4	-1.48319304560649	1
1	2008	5	-2.85096951813224	1
1	2008	6	-3.79938882169039	1
1	2009	0	3.04480805309198	1
1	2009	1	3.55105558461534	1
1	2009	2	1.9807041112401	1
1	2009	3	0.200126260636987	1
1	2009	4	-1.46612860105244	1
1	2009	5	-2.89066190905038	1
1	2009	6	-4.05208483849403	1
1	2010	0	2.3911150599362	1
1	2010	1	3.14184191651306	1
1	2010	2	1.77881034176571	1
1	2010	3	0.181216735758834	1
1	2010	4	-1.58944646840047	1
1	2010	5	-3.07542442636663	1
1	2010	6	-4.34391786757054	1
1	2011	0	2.62307443460383	1
1	2011	1	3.07967180607121	1
1	2011	2	1.91234428837903	1
1	2011	3	0.437813356676349	1
1	2011	4	-1.19636888447538	1
1	2011	5	-2.71641415970178	1
1	2011	6	-4.08914188943859	1
1	2012	0	2.70203708556769	1
1	2012	1	3.0498315502956	1
1	2012	2	1.60613401887718	1
1	2012	3	0.343236448934375	1
1	2012	4	-1.15241165508113	1
1	2012	5	-2.56937171118254	1
1	2012	6	-3.93784584129622	1
2	1999	0	9.29209013771272	1
2	1999	1	7.99982189119943	1
